imdbId,year,director,writer,stars1,stars2
1267297,2014,Brett Ratner,Ryan J. Condal,Dwayne Johnson,John Hurt
1972571,2014,Anton Corbijn,Andrew Bovell,Philip Seymour Hoffman,Rachel McAdams
2581244,2014,Jeff Baena,Jeff Baena,Aubrey Plaza,Dane DeHaan
2402603,2013,Matthew Saville,Joel Edgerton,Joel Edgerton,Jai Courtney
2473602,2014,Tate Taylor,Jez Butterworth,Chadwick Boseman,Nelsan Ellis
2870756,2014,Woody Allen,Woody Allen,Colin Firth,Emma Stone
3504048,2014,Gerard Johnstone,Gerard Johnstone,Morgana O'Reilly,Rima Te Wiata
2980648,2014,Lasse Hallström,Steven Knight,Helen Mirren,Om Puri
3139086,2014,Jay Oliva,Heath Corson,Kevin Conroy,Neal McDonough
1967697,2012,Quentin Lee,Fabienne Wen,Booboo Stewart,Harry Shum Jr.
2503154,2013,Zachary Donohue,Zachary Donohue,Melanie Papalia,David Schlachtenhaufen
1617661,2015,Lana Wachowski,Lilly Wachowski,Channing Tatum,Mila Kunis
1291150,2014,Jonathan Liebesman,Josh Appelbaum,Megan Fox,Will Arnett
2048770,2013,Richie Mehta,Richie Mehta,John Paul Ruttan,Rufus Sewell
127710,1997,Sylvain Chomet,Sylvain Chomet,James Pidgeon,Michoue Sylvain
435651,2014,Phillip Noyce,Michael Mitnick,Brenton Thwaites,Jeff Bridges
2140577,2013,Jenée LaMarque,Jenée LaMarque,Zoe Kazan,Jake Johnson
1396523,2014,Wai-Keung Lau,Fredric Dannen,Justin Chon,Kevin Wu
1924435,2014,Luke Greenfield,Luke Greenfield,Jake Johnson,Damon Wayans Jr.
3097204,2014,Damon Beesley,Damon Beesley,Simon Bird,James Buckley
2383068,2013,Ti West,Ti West,Joe Swanberg,AJ Bowen
458481,2014,Frank Miller,Frank Miller,Mickey Rourke,Jessica Alba
1355630,2014,R.J. Cutler,Shauna Cross,Chloë Grace Moretz,Mireille Enos
2737050,2014,Jean-Pierre Dardenne,Jean-Pierre Dardenne,Marion Cotillard,Fabrizio Rongione
2866360,2013,James Ward Byrkit,James Ward Byrkit,Emily Baldoni,Maury Sterling
2870612,2014,John Erick Dowdle,John Erick Dowdle,Perdita Weeks,Ben Feldman
2756032,2014,Charlie McDowell,Justin Lader,Mark Duplass,Elisabeth Moss
1682186,2011,Pen-Ek Ratanaruang,Win Lyovarin,Nopachai Chaiyanam,Sirin Horwang
2980592,2014,Adam Wingard,Simon Barrett,Dan Stevens,Sheila Kelley
3169706,2014,Matthew Warchus,Stephen Beresford,Bill Nighy,Imelda Staunton
3177316,2014,Leigh Janiak,Phil Graziadei,Rose Leslie,Harry Treadaway
1600196,2014,Michaël R. Roskam,Dennis Lehane,Tom Hardy,Noomi Rapace
2920540,2014,Iain Forsyth,Nick Cave,Nick Cave,Susie Bick
1571249,2014,Craig Johnson,Craig Johnson,Kristen Wiig,Bill Hader
430916,2008,Aaron Rose,Arty Nelson,Thomas Campbell,Shepard Fairey
1790864,2014,Wes Ball,Noah Oppenheim,Dylan O'Brien,Kaya Scodelario
2994190,2014,Peter Sattler,Peter Sattler,Kristen Stewart,Payman Maadi
365907,2014,Scott Frank,Lawrence Block,Liam Neeson,Dan Stevens
2034031,2014,Lynn Shelton,Andrea Seigel,Keira Knightley,Chloë Grace Moretz
121731,1957,Alejandro Jodorowsky,Alejandro Jodorowsky,Denise Brossot,Rolande Polya
1621046,2014,Diego Luna,Keir Pearson,Michael Peña,America Ferrera
3042408,2014,Baran bo Odar,Jantje Friese,Tom Schilling,Elyas M'Barek
2576852,2013,Isao Takahata,Isao Takahata,Chloë Grace Moretz,James Caan
1371150,2014,Shawn Levy,Jonathan Tropper,Jason Bateman,Tina Fey
208502,1985,Mamoru Oshii,Yoshitaka Amano,Mako Hyôdô,Jinpachi Nezu
2179136,2014,Clint Eastwood,Jason Hall,Bradley Cooper,Sienna Miller
3099498,2014,Kevin Smith,Kevin Smith,Justin Long,Michael Parks
1626146,2014,Peter Chelsom,Maria von Heland,Simon Pegg,Rosamund Pike
1528071,2013,Alexandre Aja,Keith Bunin,Daniel Radcliffe,Juno Temple
3322940,2014,John R. Leonetti,Gary Dauberman,Ward Horton,Annabelle Wallis
2140619,2014,Max Nichols,Mark Hammer,Miles Teller,Analeigh Tipton
829150,2014,Gary Shore,Matt Sazama,Luke Evans,Dominic Cooper
2494280,2014,Joe Carnahan,Joe Carnahan,Patrick Wilson,Ed Helms
1971325,2014,Gabe Ibáñez,Gabe Ibáñez,Antonio Banderas,Birgitte Hjort Sørensen
2326612,2014,Atom Egoyan,Atom Egoyan,Ryan Reynolds,Scott Speedman
2397535,2014,Michael Spierig,Michael Spierig,Ethan Hawke,Sarah Snook
1639826,2013,Manuel Sicilia,Manuel Sicilia,Freddie Highmore,Antonio Banderas
379000,2003,Peter Cornwell,Mark Bradridge,Brett Archer,Ren Klyce
3416742,2014,Jemaine Clement,Jemaine Clement,Jemaine Clement,Taika Waititi
2911666,2014,Chad Stahelski,Derek Kolstad,Keanu Reeves,Michael Nyqvist
2556874,2014,Julian Gilbey,Chris Howard,Ed Speleers,Will Poulter
1872194,2014,David Dobkin,Nick Schenk,Robert Downey Jr.,Robert Duvall
1778338,2014,Brett Harvey,Michael Bobroff,Joe Rogan,Snoop Dogg
2713180,2014,David Ayer,David Ayer,Brad Pitt,Shia LaBeouf
2720680,2014,Kristian Levring,Anders Thomas Jensen,Mads Mikkelsen,Eva Green
2170593,2014,Theodore Melfi,Theodore Melfi,Bill Murray,Melissa McCarthy
2509850,2014,Marc Lawrence,Marc Lawrence,Hugh Grant,Whit Baldwin
2872718,2014,Dan Gilroy,Dan Gilroy,Jake Gyllenhaal,Rene Russo
2245084,2014,Don Hall,Jordan Roberts,Ryan Potter,Scott Adsit
2262227,2014,Jorge R. Gutiérrez,Jorge R. Gutiérrez,Diego Luna,Zoe Saldana
1638002,2014,Christian Ditter,Juliette Towhidi,Lily Collins,Sam Claflin
2669336,2014,Bradley King,Bradley King,Danielle Panabaker,Matt O'Leary
470752,2014,Alex Garland,Alex Garland,Alicia Vikander,Domhnall Gleeson
77292,1978,Cheh Chang,Cheh Chang,Kuan-Tai Chan,Feng Lu
3043542,8257,KmgHailNBE,pQlJhefKDC,YLATotPnGw,qXAILhoSGT
2459156,2014,Mark Raso,Mark Raso,Gethin Anthony,Frederikke Dahl Hansen
2175842,4615,fmrvioSYVz,ZeDcLPsEOl,bJeAFjEcul,czWbtfeNyi
1883092,2958,BFOnsLiwxj,biSYDXxMAy,JxHCNFhKyo,IJpozRCtHG
103961,1992,Arnold Schwarzenegger,Aileen Hamilton,Dyan Cannon,Kris Kristofferson
2802154,2014,Andrey Zvyagintsev,Oleg Negin,Aleksey Serebryakov,Elena Lyadova
1460743,2010,Chao-Bin Su,Chao-Bin Su,Michelle Yeoh,Woo-sung Jung
2249221,2013,Jérôme Salle,Caryl Ferey,Orlando Bloom,Forest Whitaker
